url,label
http://202.198.105.28/wellsfargo/login.php,1
http://www.instagram.com.verify-billing.cc/index.html,1
http://www.instagram.com.verify-billing.click/index.html,1
http://www.microsoft.com.verify-billing.cn/index.html,1
http://121.68.166.187/instagram/login.php,1
http://www.paypal.com.verify-billing.cn/index.html,1
http://instagram-recovery.site/login.php,1
http://73.24.168.212/apple/login.php,1
http://78.58.153.206/amazon/login.php,1
http://237.193.103.251/twitter/login.php,1
http://wellsfargo-security.top/login.php,1
http://151.202.70.99/amazon/login.php,1
http://www.twitter.com.verify-billing.work/index.html,1
http://109.45.168.21/bankofamerica/login.php,1
http://netflix-verify.info/login.php,1
http://www.instagram.com.verify-billing.info/index.html,1
http://www.bankofamerica.com.verify-billing.cc/index.html,1
http://twitter-recovery.click/login.php,1
http://www.amazon.com.verify-billing.cfd/index.html,1
http://amazon-billing.vip/login.php,1
http://209.254.147.163/microsoft/login.php,1
http://www.twitter.com.verify-billing.icu/index.html,1
http://microsoft-verify.site/login.php,1
http://245.172.138.85/instagram/login.php,1
http://36.254.60.121/facebook/login.php,1
http://21.74.197.178/apple/login.php,1
http://117.229.1.130/instagram/login.php,1
http://netflix-signin.xyz/login.php,1
http://240.62.203.42/facebook/login.php,1
http://171.159.151.115/wellsfargo/login.php,1
http://google-account.click/login.php,1
http://amazon-login.click/login.php,1
http://twitter-account.online/login.php,1
http://www.paypal.com.verify-billing.info/index.html,1
http://netflix-support.site/login.php,1
http://bankofamerica-login.xyz/login.php,1
http://www.netflix.com.verify-billing.click/index.html,1
http://bankofamerica-billing.online/login.php,1
http://bankofamerica-update.online/login.php,1
http://facebook-update.click/login.php,1
http://microsoft-confirm.shop/login.php,1
http://www.apple.com.verify-billing.xyz/index.html,1
http://amazon-login.top/login.php,1
http://95.224.139.94/twitter/login.php,1
http://www.google.com.verify-billing.vip/index.html,1
http://www.paypal.com.verify-billing.top/index.html,1
http://241.135.120.185/amazon/login.php,1
http://www.amazon.com.verify-billing.site/index.html,1
http://159.213.220.26/google/login.php,1
http://206.251.245.217/chase/login.php,1
http://microsoft-portal.ru/login.php,1
